,x,y,z,ch_edaphic_eivdescombes_pixel_d,ch_edaphic_eivdescombes_pixel_f,ch_edaphic_eivdescombes_pixel_h,ch_edaphic_eivdescombes_pixel_k,ch_edaphic_eivdescombes_pixel_l,ch_edaphic_eivdescombes_pixel_n,ch_edaphic_eivdescombes_pixel_r,ch_edaphic_eivdescombes_pixel_w,gdd0Y_8110_LV95,gdd3Y_8110_LV95,gdd5Y_8110_LV95,AI_8110_LV95,bio1_t_8110_LV95,bio2_tdr_8110_LV95,bio3_tiso_8110_LV95,bio4_ts_8110_LV95,bio5_tmaxw_8110_LV95,bio6_tminc_8110_LV95,bio7_tar_8110_LV95,bio8_twetq_8110_LV95,bio9_tdryq_8110_LV95,bio10_twarmq_8110_LV95,bio11_tcoldq_8110_LV95,bio12_p_8110_LV95,bio13_pwet_8110_LV95,bio14_pdry_8110_LV95,bio15_ps_8110_LV95,bio16_pwetq_8110_LV95,bio17_pdryq_8110_LV95,bio18_pwarmq_8110_LV95,bio19_pcoldq_8110_LV95,etpY_8110_LV95,east_mean,eastSlope_mean,north_mean,northSlope_mean,roughness_mean,slope_mean,TPI_mean,TRI_mean,CanopyVaud2m_max,CanopyVaud2m_mean,CanopyVaud2m_median,CanopyVaud2m_min,CanopyVaud2m_sd,EauxStagnantes_prop,ForetBuissannante_prop,ForetClairsemee_prop,ForetDense_prop,Glacier_prop,RocheMeubler_prop,Rocks_Min80Per_prop,ZHumide_prop,sradY,meanEVI_annualmax_2001_2021,meanEVI_annualmean_2001_2021,meanEVI_annualmedian_2001_2021,meanEVI_annualmin_2001_2021,meanEVI_annualrange_2001_2021,meanEVI_annualstd_2001_2021,meanGCI_annualmax_2001_2021,meanGCI_annualmean_2001_2021,meanGCI_annualmedian_2001_2021,meanGCI_annualmin_2001_2021,meanGCI_annualrange_2001_2021,meanGCI_annualstd_2001_2021,SCD15_final,SCD40_final
1,2557747.6,1149726.8,701.412475585938,2.22644400596619,2.90386390686035,3.19714093208313,3.05697917938232,3.39119696617126,2.9549994468689,6.34495115280151,1.81127893924713,3449.69995117188,2535.69995117188,2005.40002441406,27,9.39999961853027,7.59999990463257,30.3999996185303,652.700012207031,23.5,-1.70000004768372,25.2000007629395,15.6999998092651,2.5,17.5,1.5,1494.19995117188,147,96,13.1000003814697,423.5,314.299987792969,419.899993896484,326.100006103516,420,-0.80649733543396,-0.0399559363722801,-0.564473867416382,-0.0287111047655344,0.1400146484375,2.86516094207764,0.00593376159667969,0.0390682220458984,0.3089599609375,0.23590087890625,0.214996337890625,0.18768310546875,0.0537903867661953,0,0,0,0,0,0,0,0,77548.6640625,147934752,23347000,21305500,-29374500,183770496,31597000,79810496,42262500,43483000,-4046500,83855000,20416500,50,50
2,2572499.4,1145503.5,887.570007324219,1.97903966903687,3.22631311416626,3.35228323936462,2.98497414588928,3.50371289253235,3.32706379890442,6.23445320129395,1.9239000082016,2902.10009765625,2083.39990234375,1616.59997558594,31,7.59999990463257,10.6000003814697,35.7999992370605,698.099975585938,23.5,-6.19999980926514,29.7000007629395,16.1000003814697,3.29999995231628,16.1000003814697,-1.10000002384186,1294.69995117188,135.699996948242,80.9000015258789,17.5,401.600006103516,266.700012207031,401.600006103516,278.700012207031,424.399993896484,-0.833953738212585,-0.27031472325325,0.53357720375061,0.17767907679081,1.03750610351562,19.0760803222656,-0.0549983978271484,0.296880722045898,0.62030029296875,0.236831665039062,0.16351318359375,0,0.298530697822571,0,0,0,0,0,0,0,0,62422.34765625,239978368,16357000,15967000,-136004000,380175008,62497000,108608000,28084000,26881500,-18501500,127108000,30756000,82,78
3,2580704.0,1126301.0,2040.11950683594,2.31592988967896,3.1027295589447,3.40996193885803,3.05266284942627,3.91309928894043,2.59285736083984,6.16187906265259,1.78533446788788,1326.90002441406,772.799987792969,496,10,1.70000004768372,6.90000009536743,31.3999996185303,559.700012207031,13.8999996185303,-8.19999980926514,22.1000003814697,8.69999980926514,-2.90000009536743,8.69999980926514,-4.5,2165.39990234375,217,141.899993896484,14.1000003814697,644.5,465.700012207031,644.5,544.200012207031,234.699996948242,0.475194305181503,0.136351257562637,0.877227663993835,0.256165742874146,0.82879638671875,16.919153213501,-0.0299720764160156,0.236598968505859,0.29736328125,0.214202880859375,0.1400146484375,0,0.143044024705887,0,0,0,0,0,0,0,0,57808.83203125,53247624,6881000,12072500,-99338000,161030000,32585500,45013000,13241000,7003500,-6086500,51100000,17350500,155.999999999892,149.999999999892
4,2581301.7,1150300.1,1239.96752929688,1.96751248836517,3.14356756210327,3.43474411964417,2.98483157157898,3.53949284553528,3.0625786781311,6.14387083053589,1.96528947353363,2253,1521.90002441406,1116.40002441406,27,5.59999990463257,9.80000019073486,36.7999992370605,625.099975585938,20.2000007629395,-6.59999990463257,26.7999992370605,13.3000001907349,1.10000002384186,13.3000001907349,-1.89999997615814,1469.90002441406,152,96,15.8999996185303,451,309.700012207031,451,350.399993896484,401,-0.274913966655731,-0.0669707730412483,-0.960197329521179,-0.234212338924408,0.617523193359375,14.1184158325195,-0.00278854370117188,0.196567535400391,0,0,0,0,0,0,0,0,0,0,0,0,0,84331.109375,171811248,18003500,17852000,-25359000,199140992,29650000,71046496,35274500,40982000,-1678500,72727504,22247000,71.0000000001339,67.9999999998661
5,2579838.7,1124770.9,2137.06518554688,2.49559044837952,3.22612714767456,3.27395224571228,2.92495703697205,4.05177450180054,2.34309792518616,6.08616638183594,1.7165584564209,1402.30004882812,829.5,540.900024414062,9,2.09999990463257,6.80000019073486,31.2999992370605,559.799987792969,14.1999998092651,-7.80000019073486,22,9.10000038146973,-2.5,9.10000038146973,-4.19999980926514,2105.60009765625,212.5,141,14.3000001907349,631.099975585938,451,631.099975585938,518.799987792969,230.699996948242,0.252233475446701,0.0143201230093837,0.9676393866539,0.0549344345927238,0.13873291015625,3.25452947616577,-6.866455078125E-05,0.0448684692382812,0.1201171875,0.05743408203125,0.0548095703125,0,0.0664575025439262,0,0,0,0,0,0,0,0,60855.9375,116563248,6465000,989000,-43284000,142839504,36975500,15985500,-1683500,-3294500,-19525000,35509000,8720500,178.999999999942,178.999999999942
6,2577011.1,1121328.6,2511.17041015625,4.01267623901367,3.11111736297607,1.93056893348694,2.85132551193237,4.5998797416687,2.0330445766449,6.71637392044067,1.39373099803925,1092.90002441406,605.099975585938,370.299987792969,8,0.600000023841858,6.5,30.1000003814697,554.5,12.5,-9.10000038146973,21.6000003814697,7.5,-4,7.5,-5.5,2184.60009765625,228.5,154.699996948242,15.1999998092651,666.799987792969,468.5,666.799987792969,508.200012207031,195.300003051758,-0.846090495586395,-0.613662421703339,-0.532893538475037,-0.386503130197525,2.90576171875,46.494270324707,3.814697265625E-05,0.808982849121094,0,0,0,0,0,0,0,0,0,0,0.00999999977648258,0.990000009536743,0,70831.28125,17286000,3616000,1374000,-3009000,21795500,6486500,345500,-3432000,-3473000,-7418000,7763000,2639000,198.000000034897,189.000000036778
7,2580694.5,1126000.6,2049.7333984375,2.43972611427307,3.02757978439331,3.39572072029114,3.09800839424133,3.91019916534424,2.39286994934082,6.11304473876953,1.77842104434967,1355.09997558594,793.900024414062,512.799987792969,11,1.89999997615814,6.90000009536743,31.3999996185303,560.099975585938,14.1000003814697,-8,22.1000003814697,8.89999961853027,-2.70000004768372,8.89999961853027,-4.30000019073486,2153.89990234375,216.199996948242,141.600006103516,14.1999998092651,642.299987792969,462.5,642.299987792969,539.200012207031,262.399993896484,-0.471907258033752,-0.118470728397369,-0.878736674785614,-0.226248413324356,0.69403076171875,14.8457794189453,0.0309219360351562,0.207969665527344,0.68994140625,0.38555908203125,0.3564453125,0.139404296875,0.228695154190063,0,0,0,0,0,0,0,0,86887.09375,46752876,6565500,13328500,-71204496,113335504,28893000,64301000,21883000,14316000,-5332500,69634000,24650500,142.999999998918,129.000000000083
8,2581699.8,1150900.1,1350.56494140625,2.04230952262878,3.04956150054932,3.42734050750732,3.05543613433838,3.58997988700867,3.05799126625061,6.15861320495605,1.88382041454315,2153.80004882812,1435.80004882812,1040.90002441406,26,5.19999980926514,9.39999961853027,36.2999992370605,612.700012207031,19.3999996185303,-6.5,25.8999996185303,12.8000001907349,0.699999988079071,12.8000001907349,-2,1509.40002441406,155.100006103516,97.6999969482422,15.1999998092651,458.200012207031,320.100006103516,458.200012207031,364.799987792969,403.100006103516,0.218966037034988,0.116742074489594,-0.973774671554565,-0.5136559009552,1.43753051757812,31.8660221099854,0.0537261962890625,0.490005493164062,0.225341796875,0.15228271484375,0.1453857421875,0.0814208984375,0.0755604058504105,0,0,0,0,0,0,0,0,88463.6796875,29374376,13580000,16214500,-12869000,42924500,9011500,71455504,34088500,39576000,-3096500,74552000,22399000,70.9999999998638,67.9999999998184
9,2571295.9,1137893.3,1932.10998535156,3.18237805366516,2.6292736530304,2.71466708183289,3.33098530769348,3.91601824760437,2.3192195892334,6.71844434738159,1.52251255512238,1840.69995117188,1169,811.900024414062,20,4.09999990463257,7.80000019073486,33.5999984741211,571,16.8999996185303,-6.40000009536743,23.2000007629395,11.1999998092651,-0.400000005960464,11.1999998092651,-2.40000009536743,1706.40002441406,160.300003051758,111.599998474121,10.8000001907349,478.600006103516,380.5,478.600006103516,444.200012207031,347.799987792969,0.216007202863693,0.11707067489624,-0.97532045841217,-0.527148365974426,1.5999755859375,32.7262878417969,0.0168724060058594,0.502490997314453,0,0,0,0,0,0,0,0,0,0,0.980000019073486,0.0199999995529652,0,87216.7578125,27600624,-5364500,4432500,-278960512,314678496,57119000,7226500,2413000,3091500,-4826000,12053000,3512500,112.000000000652,109.000000000652
10,2583602.3,1147106.0,1358.95495605469,2.41709518432617,2.72935891151428,3.2152533531189,3.1728150844574,3.40332293510437,2.69965600967407,6.33437061309814,1.73889088630676,2223.5,1499.5,1097.90002441406,28,5.5,9.89999961853027,37,627.299987792969,20.1000003814697,-6.69999980926514,26.7999992370605,13.1999998092651,0.899999976158142,13.1999998092651,-2,1412.30004882812,151.199996948242,91.9000015258789,18.5,450.700012207031,290,450.700012207031,323.299987792969,411.100006103516,0.85412472486496,0.142015546560287,0.516109824180603,0.0859420001506805,0.489959716796875,9.57482814788818,0.00312042236328125,0.132492065429688,0.4432373046875,0.198638916015625,0.1756591796875,0,0.2324178814888,0,0,0,0,0,0,0,0,70618.0703125,50525752,13494500,15959000,-30371000,87410000,17574000,151813504,34378500,38124000,-9176000,160988992,37701500,94.99999999978,91.9999999997066
